offset 13, kernel32
2FA60624, ActivateActCtx
ECFC3453, AddAtomA
ECFC3469, AddAtomW
99161276, AddConsoleAliasA
9916128C, AddConsoleAliasW
33675025, AddLocalAlternateComputerNameA
3367503B, AddLocalAlternateComputerNameW
BFC36E12, AddRefActCtx
159B3EA0, AddVectoredExceptionHandler
D9F868D8, AllocConsole
6493DFD5, AllocateUserPhysicalPages
E4EFB688, AreFileApisANSI
6A5DA562, AssignProcessToJobObject
CE5E158A, AttachConsole
89BD363F, BackupRead
8BDD3646, BackupSeek
CC7CA04E, BackupWrite
B683D0D4, BaseCheckAppcompatCache
0B2F3560, BaseCleanupAppcompatCache
CAC9C870, BaseCleanupAppcompatCacheSupport
DF047EAC, BaseDumpAppcompatCache
B753C4F6, BaseFlushAppcompatCache
5EFD8ED4, BaseInitAppcompatCache
4494F6FB, BaseInitAppcompatCacheSupport
8235F8AE, BaseProcessInitPostImport
28D52ADB, BaseQueryModuleData
0A089932, BaseUpdateAppcompatCache
BC3379DF, BasepCheckWinSaferRestrictions
872819B0, Beep
CD6B7F7C, BeginUpdateResourceA
CD6B7F92, BeginUpdateResourceW
B236B57C, BindIoCompletionCallback
B0C04DD2, BuildCommDCBA
DEFB9C30, BuildCommDCBAndTimeoutsA
DEFB9C46, BuildCommDCBAndTimeoutsW
B0C04DE8, BuildCommDCBW
5A1BA03F, CallNamedPipeA
5A1BA055, CallNamedPipeW
64F69166, CancelDeviceWakeupRequest
CDD25406, CancelIo
4D350C9C, CancelTimerQueueTimer
9FD2A4C4, CancelWaitableTimer
69F71AF3, ChangeTimerQueueTimer
97112B36, CheckNameLegalDOS8Dot3A
97112B4C, CheckNameLegalDOS8Dot3W
43AF7D80, CheckRemoteDebuggerPresent
0E0DDE9B, ClearCommBreak
0E7E11E2, ClearCommError
E3C9A17B, CloseConsoleHandle
0FFD97FB, CloseHandle
28E3498F, CloseProfileUserMapping
47AFE921, CmdBatNotification
5CF42170, CommConfigDialogA
5CF42186, CommConfigDialogW
8A771684, CompareFileTime
6AE857A8, CompareStringA
6AE857BE, CompareStringW
CB09C9F9, ConnectNamedPipe
134908BE, ConsoleMenuControl
0C256F48, ContinueDebugEvent
B73C7422, ConvertDefaultLocale
D1D82244, ConvertFiberToThread
2E880484, ConvertThreadToFiber
99EC895E, CopyFileA
7EE258E7, CopyFileExA
7EE258FD, CopyFileExW
99EC8974, CopyFileW
004BE0CC, CopyLZFile
BFB2765C, CreateActCtxA
BFB27672, CreateActCtxW
EC325B3E, CreateConsoleScreenBuffer
9FCF5965, CreateDirectoryA
F7965AA8, CreateDirectoryExA
F7965ABE, CreateDirectoryExW
9FCF597B, CreateDirectoryW
30C4B281, CreateEventA
30C4B297, CreateEventW
7C001556, CreateFiber
022D5617, CreateFiberEx
7C0017A5, CreateFileA
56C61229, CreateFileMappingA
56C6123F, CreateFileMappingW
7C0017BB, CreateFileW
58EB2281, CreateHardLinkA
58EB2297, CreateHardLinkW
05617BA9, CreateIoCompletionPort
114EE3A5, CreateJobObjectA
114EE3BB, CreateJobObjectW
AA4C3BF6, CreateJobSet
641192C5, CreateMailslotA
641192DB, CreateMailslotW
55FE87E3, CreateMemoryResourceNotification
4EE4A045, CreateMutexA
4EE4A05B, CreateMutexW
0B2D6846, CreateNamedPipeA
0B2D685C, CreateNamedPipeW
BD803837, CreateNlsSecurityDescriptor
170C8F80, CreatePipe
16B3FE72, CreateProcessA
DB4DFA72, CreateProcessInternalA
DB4DFA88, CreateProcessInternalW
33B9DB07, CreateProcessInternalWSecure
16B3FE88, CreateProcessW
72BD9CDD, CreateRemoteThread
1B1F10CC, CreateSemaphoreA
1B1F10E2, CreateSemaphoreW
E752DABA, CreateSocketHandle
A1B2B801, CreateTapePartition
CA2BD06B, CreateThread
2BADA5B1, CreateTimerQueue
6B042E8B, CreateTimerQueueTimer
E454DFED, CreateToolhelp32Snapshot
2A5BEF4D, CreateVirtualBuffer
0A62E290, CreateWaitableTimerA
0A62E2A6, CreateWaitableTimerW
BFA79A2C, DeactivateActCtx
B58F38E6, DebugActiveProcess
9D0688C9, DebugActiveProcessStop
CDE2661F, DebugBreak
872BCDE6, DebugBreakProcess
